method,backbone,task,accuracy_mean,accuracy_std,wall_clock_s_mean,wall_clock_s_std,peak_mem_gb_mean,peak_mem_gb_std,trainable_pct_mean,energy_kwh_mean,energy_kwh_std,carbon_kgco2eq_mean,carbon_kgco2eq_std,cost_usd_mean,score_balanced_mean,n_seeds,perf_per_kwh,perf_per_carbon
full_ft,large,classification,0.9049999999999999,0.0010000000000000009,600.0,0.0,22.0,0.0,1.0,0.7582333333333334,0.0007505553499465418,0.2917,0.00029999999999998084,0.91,0.3,3,1.1935639864597527,3.102502571134727
full_ft,medium,classification,0.874,0.0010000000000000009,600.0,0.0,14.0,0.0,1.0,0.2817,0.0003000000000000086,0.1089,0.00010000000000000286,0.34,0.3,3,3.1025914093006746,8.025711662075299
full_ft,small,classification,0.794,0.0010000000000000009,600.0,0.0,6.0,0.0,1.0,0.04196666666666667,5.773502691896323e-05,0.016,0.0,0.05000000000000001,0.3,3,18.919777601270848,49.625
lisa,large,classification,0.8690000000000001,0.0010000000000000009,612.0,0.0,13.199999999999998,0.0,0.05000000000000001,0.2138,0.0001999999999999953,0.0819,0.00010000000000000286,0.26,0.555,3,4.064546304957905,10.610500610500612
lisa,medium,classification,0.834,0.0010000000000000009,612.0,0.0,8.4,0.0,0.05000000000000001,0.07193333333333334,5.7735026918956215e-05,0.027966666666666667,5.773502691896123e-05,0.09000000000000001,0.56,3,11.59406858202039,29.821215733015492
lisa,small,classification,0.7760000000000001,0.0010000000000000009,612.0,0.0,3.6,0.0,0.05000000000000001,0.01,0.0,0.004,0.0,0.01,0.629,3,77.60000000000001,194.00000000000003
lora,large,classification,0.88,0.0010000000000000009,600.0,0.0,15.4,0.0,0.015,0.14286666666666667,0.00015275252316519677,0.054933333333333334,5.7735026918964726e-05,0.17,0.682,3,6.159589360709286,16.019417475728154
lora,medium,classification,0.86,0.0010000000000000009,600.0,0.0,9.8,0.0,0.015,0.049966666666666666,5.7735026918964726e-05,0.019,0.0,0.06,0.7799999999999999,3,17.211474316210808,45.26315789473684
lora,small,classification,0.7840000000000001,0.0010000000000000009,600.0,0.0,4.2,0.0,0.015,0.019,0.0,0.007,0.0,0.02,0.631,3,41.26315789473685,112.00000000000001
lora_fa,large,classification,0.882,0.0010000000000000009,600.0,0.0,14.300000000000002,0.0,0.012000000000000002,0.14286666666666667,0.00015275252316519677,0.054933333333333334,5.7735026918964726e-05,0.17,0.714,3,6.173588427438171,16.055825242718445
lora_fa,medium,classification,0.848,0.0010000000000000009,600.0,0.0,9.1,0.0,0.012000000000000002,0.046966666666666664,5.773502691896323e-05,0.018,0.0,0.06,0.7200000000000001,3,18.055358410220016,47.111111111111114
lora_fa,small,classification,0.783,0.0010000000000000009,600.0,0.0,3.9,0.0,0.012000000000000002,0.017,0.0,0.007,0.0,0.02,0.658,3,46.05882352941176,111.85714285714286
qlora,large,classification,0.872,0.0010000000000000009,600.0,0.0,11.0,0.0,0.015,0.08789999999999999,9.999999999999246e-05,0.033966666666666666,5.7735026918964726e-05,0.11,0.719,3,9.920364050056884,25.672227674190385
qlora,medium,classification,0.842,0.0010000000000000009,600.0,0.0,7.0,0.0,0.015,0.024000000000000004,0.0,0.009,0.0,0.03,0.759,3,35.08333333333333,93.55555555555556
qlora,small,classification,0.777,0.0010000000000000009,600.0,0.0,3.0,0.0,0.015,0.01,0.0,0.004,0.0,0.01,0.705,3,77.7,194.25
