method,backbone,task,accuracy_mean,accuracy_std,wall_clock_s_mean,wall_clock_s_std,peak_mem_gb_mean,peak_mem_gb_std,trainable_pct_mean,energy_kwh_mean,energy_kwh_std,carbon_kgco2eq_mean,carbon_kgco2eq_std,cost_usd_mean,score_balanced_mean,n_seeds,perf_per_kwh,perf_per_carbon,score_balanced,score_accuracy_first,score_carbon_constrained
full_ft,large,classification,0.905,0.001,600.0,0.0,22.0,0.0,1.0,0.7582333333333334,0.0007505553499465,0.2917,0.0002999999999999,0.91,0.3,3,1.1935639864597527,3.102502571134727,0.4499999986447783,0.6499999966131582,0.34999999983174884
full_ft,medium,classification,0.874,0.001,600.0,0.0,14.0,0.0,1.0,0.2817,0.0003,0.1089,0.0001,0.34,0.3,3,3.1025914093006746,8.025711662075299,0.6955172820453173,0.7202290592004077,0.6938779659826462
full_ft,small,classification,0.794,0.001,600.0,0.0,6.0,0.0,1.0,0.0419666666666666,5.773502691896323e-05,0.016,0.0,0.05,0.3,3,18.919777601270848,49.625,0.7012896597088796,0.5376399335156474,0.7889237539192935
lisa,large,classification,0.8690000000000001,0.001,612.0,0.0,13.199999999999998,0.0,0.05,0.2138,0.0001999999999999,0.0819,0.0001,0.26,0.555,3,4.064546304957905,10.610500610500612,0.5771241348018863,0.5756244889539122,0.5911776549707205
lisa,medium,classification,0.834,0.001,612.0,0.0,8.4,0.0,0.05,0.0719333333333333,5.7735026918956215e-05,0.0279666666666666,5.773502691896123e-05,0.09,0.56,3,11.59406858202039,29.82121573301549,0.6090367167173802,0.5155669087577701,0.6658169286279094
lisa,small,classification,0.7760000000000001,0.001,612.0,0.0,3.6,0.0,0.05,0.01,0.0,0.004,0.0,0.01,0.629,3,77.60000000000001,194.00000000000003,0.5452631579074861,0.3452631579074862,0.6468421052758242
lora,large,classification,0.88,0.001,600.0,0.0,15.4,0.0,0.015,0.1428666666666666,0.0001527525231651,0.0549333333333333,5.7735026918964726e-05,0.17,0.682,3,6.159589360709286,16.019417475728154,0.7730437055290111,0.7697450247943194,0.7984728116414002
lora,medium,classification,0.86,0.001,600.0,0.0,9.8,0.0,0.015,0.0499666666666666,5.7735026918964726e-05,0.019,0.0,0.06,0.7799999999999999,3,17.211474316210808,45.26315789473684,0.8205541545050452,0.7613419469682425,0.865448112954745
lora,small,classification,0.7840000000000001,0.001,600.0,0.0,4.2,0.0,0.015,0.019,0.0,0.007,0.0,0.02,0.631,3,41.26315789473685,112.0,0.7046397944023478,0.5192884812844901,0.7999519692659794
lora_fa,large,classification,0.882,0.001,600.0,0.0,14.300000000000002,0.0,0.012,0.1428666666666666,0.0001527525231651,0.0549333333333333,5.7735026918964726e-05,0.17,0.714,3,6.173588427438171,16.055825242718445,0.786379078809512,0.7861811732445816,0.8073630604950673
lora_fa,medium,classification,0.848,0.001,600.0,0.0,9.1,0.0,0.012,0.0469666666666666,5.773502691896323e-05,0.018,0.0,0.06,0.7200000000000001,3,18.055358410220016,47.11111111111112,0.7996705512351061,0.7211051639453693,0.8525727864422031
lora_fa,small,classification,0.783,0.001,600.0,0.0,3.9,0.0,0.012,0.017,0.0,0.007,0.0,0.02,0.658,3,46.05882352941176,111.85714285714286,0.7052172266727114,0.5180482296723838,0.8006487697934093
qlora,large,classification,0.872,0.001,600.0,0.0,11.0,0.0,0.015,0.0878999999999999,9.999999999999246e-05,0.0339666666666666,5.7735026918964726e-05,0.11,0.719,3,9.920364050056884,25.672227674190385,0.8184436509140658,0.7881079923502341,0.8494561405255576
qlora,medium,classification,0.842,0.001,600.0,0.0,7.0,0.0,0.015,0.024,0.0,0.009,0.0,0.03,0.759,3,35.08333333333333,93.55555555555556,0.8146914324903654,0.7206260086155256,0.8713814994967499
qlora,small,classification,0.777,0.001,600.0,0.0,3.0,0.0,0.015,0.01,0.0,0.004,0.0,0.01,0.705,3,77.7,194.25,0.7023255813773208,0.5038759689622014,0.8015503875848806
