run_id,method,backbone,task,seed,status,mode,accuracy,metric_name,wall_clock_s,peak_mem_gb,trainable_pct,energy_kwh,carbon_kgco2eq,cost_usd
full_ft_large_classification_seed13,full_ft,large,classification,13,oom,measured,,,,,1.0,,,
full_ft_large_classification_seed2024,full_ft,large,classification,2024,oom,measured,,,,,1.0,,,
full_ft_large_classification_seed42,full_ft,large,classification,42,oom,measured,,,,,1.0,,,
full_ft_medium_classification_seed13,full_ft,medium,classification,13,oom,measured,,,,,1.0,,,
full_ft_medium_classification_seed2024,full_ft,medium,classification,2024,oom,measured,,,,,1.0,,,
full_ft_medium_classification_seed42,full_ft,medium,classification,42,oom,measured,,,,,1.0,,,
full_ft_small_classification_seed13,full_ft,small,classification,13,oom,measured,,,,,1.0,,,
full_ft_small_classification_seed2024,full_ft,small,classification,2024,oom,measured,,,,,1.0,,,
full_ft_small_classification_seed42,full_ft,small,classification,42,oom,measured,,,,,1.0,,,
full_ft_tiny_classification_seed13,full_ft,tiny,classification,13,ok,measured,0.9133,accuracy,222.2,13.475,1.0,0.003802,0.002471,0.0221
full_ft_tiny_classification_seed2024,full_ft,tiny,classification,2024,ok,measured,0.9233,accuracy,223.09,13.48,1.0,0.003828,0.002488,0.0221
full_ft_tiny_classification_seed42,full_ft,tiny,classification,42,ok,measured,0.9,accuracy,223.02,13.48,1.0,0.00383,0.002489,0.0221
lisa_large_classification_seed13,lisa,large,classification,13,oom,measured,,,,,1e-06,,,
lisa_large_classification_seed2024,lisa,large,classification,2024,oom,measured,,,,,1e-06,,,
lisa_large_classification_seed42,lisa,large,classification,42,oom,measured,,,,,1e-06,,,
lisa_medium_classification_seed13,lisa,medium,classification,13,ok,measured,0.5267,accuracy,628.26,14.895,2e-06,0.011068,0.007194,0.0624
lisa_medium_classification_seed2024,lisa,medium,classification,2024,ok,measured,0.48,accuracy,641.97,14.818,2e-06,0.011369,0.00739,0.0638
lisa_medium_classification_seed42,lisa,medium,classification,42,ok,measured,0.46,accuracy,638.76,14.937,2e-06,0.011289,0.007338,0.0635
lisa_small_classification_seed13,lisa,small,classification,13,ok,measured,0.7,accuracy,474.73,9.539,4e-06,0.00844,0.005486,0.0472
