run_id,method,backbone,family,params_b,rank,quant_bits,is_adapter_method,gpu_total_gb,status,fits,trainable_param_pct,accuracy,peak_gpu_memory_gb,energy_kwh,carbon_kgco2eq,wall_clock_seconds
full_ft_tiny_classification_seed13,full_ft,tiny,qwen,0.5,0,32,0,15.6,ok,1,1.0,0.9117,11.462,0.00239411,0.00155617,132.28
full_ft_tiny_classification_seed2024,full_ft,tiny,qwen,0.5,0,32,0,15.6,ok,1,1.0,0.8991,11.439,0.00240937,0.00156609,132.95
full_ft_tiny_classification_seed42,full_ft,tiny,qwen,0.5,0,32,0,15.6,ok,1,1.0,0.9048,11.414,0.00237976,0.00154684,131.62
lisa_tiny_classification_seed13,lisa,tiny,qwen,0.5,0,16,0,15.6,ok,1,0.724441,0.8635,5.143,0.00124387,0.00080852,69.08
lisa_tiny_classification_seed2024,lisa,tiny,qwen,0.5,0,16,0,15.6,ok,1,0.724441,0.8899,5.54,0.0012547,0.00081556,69.65
lisa_tiny_classification_seed42,lisa,tiny,qwen,0.5,0,16,0,15.6,ok,1,0.724441,0.9071,5.586,0.00127987,0.00083192,71.65
lora_tiny_classification_seed13,lora,tiny,qwen,0.5,16,16,1,15.6,ok,1,0.004362,0.9163,4.206,0.00115775,0.00075254,108.59
lora_tiny_classification_seed2024,lora,tiny,qwen,0.5,16,16,1,15.6,ok,1,0.004362,0.9186,4.879,0.0012918,0.00083967,105.65
lora_tiny_classification_seed42,lora,tiny,qwen,0.5,16,16,1,15.6,ok,1,0.004362,0.9174,4.877,0.00121608,0.00079045,105.4
lora_fa_tiny_classification_seed13,lora_fa,tiny,qwen,0.5,16,16,1,15.6,ok,1,0.001589,0.9174,4.084,0.0012967,0.00084285,102.81
lora_fa_tiny_classification_seed2024,lora_fa,tiny,qwen,0.5,16,16,1,15.6,ok,1,0.001589,0.914,4.865,0.00129812,0.00084378,100.83
lora_fa_tiny_classification_seed42,lora_fa,tiny,qwen,0.5,16,16,1,15.6,ok,1,0.001589,0.9151,4.873,0.00130385,0.0008475,101.96
qlora_tiny_classification_seed13,qlora,tiny,qwen,0.5,16,4,1,15.6,ok,1,0.006822,0.9025,3.64,0.00214066,0.00139143,162.23
qlora_tiny_classification_seed2024,qlora,tiny,qwen,0.5,16,4,1,15.6,ok,1,0.006822,0.9163,2.879,0.00216281,0.00140583,165.03
qlora_tiny_classification_seed42,qlora,tiny,qwen,0.5,16,4,1,15.6,ok,1,0.006822,0.9163,2.694,0.00213814,0.00138979,164.77
full_ft_small_classification_seed13,full_ft,small,llama,1.1,0,32,0,15.6,oom,0,,,,,,
full_ft_small_classification_seed2024,full_ft,small,llama,1.1,0,32,0,15.6,oom,0,,,,,,
full_ft_small_classification_seed42,full_ft,small,llama,1.1,0,32,0,15.6,oom,0,,,,,,
lisa_small_classification_seed13,lisa,small,llama,1.1,0,16,0,15.6,ok,1,0.936649,0.9186,11.223,0.00209492,0.0013617,116.47
lisa_small_classification_seed2024,lisa,small,llama,1.1,0,16,0,15.6,ok,1,0.936649,0.9151,11.183,0.00209872,0.00136417,116.84
lisa_small_classification_seed42,lisa,small,llama,1.1,0,16,0,15.6,ok,1,0.936649,0.9266,11.116,0.00207034,0.00134572,115.98
lora_small_classification_seed13,lora,small,llama,1.1,16,16,1,15.6,ok,1,0.00434,0.9404,11.043,0.00180621,0.00117404,103.56
lora_small_classification_seed2024,lora,small,llama,1.1,16,16,1,15.6,ok,1,0.00434,0.9415,9.044,0.00175148,0.00113846,99.52
lora_small_classification_seed42,lora,small,llama,1.1,16,16,1,15.6,ok,1,0.00434,0.9495,9.12,0.00176415,0.0011467,100.16
lora_fa_small_classification_seed13,lora_fa,small,llama,1.1,16,16,1,15.6,ok,1,0.001565,0.9243,7.945,0.00173334,0.00112667,98.22
lora_fa_small_classification_seed2024,lora_fa,small,llama,1.1,16,16,1,15.6,ok,1,0.001565,0.9255,9.023,0.00173377,0.00112695,98.55
lora_fa_small_classification_seed42,lora_fa,small,llama,1.1,16,16,1,15.6,ok,1,0.001565,0.9255,9.069,0.00172196,0.00111927,97.77
qlora_small_classification_seed13,qlora,small,llama,1.1,16,4,1,15.6,ok,1,0.008132,0.9358,5.831,0.0027257,0.00177171,153.22
qlora_small_classification_seed2024,qlora,small,llama,1.1,16,4,1,15.6,ok,1,0.008132,0.9358,3.518,0.00272738,0.0017728,154.39
qlora_small_classification_seed42,qlora,small,llama,1.1,16,4,1,15.6,ok,1,0.008132,0.9427,3.493,0.00269835,0.00175393,152.61
full_ft_medium_classification_seed13,full_ft,medium,qwen,1.5,0,32,0,15.6,oom,0,,,,,,
full_ft_medium_classification_seed2024,full_ft,medium,qwen,1.5,0,32,0,15.6,oom,0,,,,,,
full_ft_medium_classification_seed42,full_ft,medium,qwen,1.5,0,32,0,15.6,oom,0,,,,,,
lisa_medium_classification_seed13,lisa,medium,qwen,1.5,0,16,0,15.6,ok,1,0.848823,0.9438,14.788,0.0025163,0.0016356,139.68
lisa_medium_classification_seed2024,lisa,medium,qwen,1.5,0,16,0,15.6,ok,1,0.848823,0.9369,15.866,0.00253723,0.0016492,141.3
lisa_medium_classification_seed42,lisa,medium,qwen,1.5,0,16,0,15.6,ok,1,0.848823,0.9335,15.896,0.00252961,0.00164425,140.82
lora_medium_classification_seed13,lora,medium,qwen,1.5,16,16,1,15.6,oom,0,,,,,,
lora_medium_classification_seed2024,lora,medium,qwen,1.5,16,16,1,15.6,ok,1,0.002817,0.9495,13.316,0.00220031,0.0014302,125.38
lora_medium_classification_seed42,lora,medium,qwen,1.5,16,16,1,15.6,ok,1,0.002817,0.9461,11.24,0.00216023,0.00140415,125.43
lora_fa_medium_classification_seed13,lora_fa,medium,qwen,1.5,16,16,1,15.6,ok,1,0.001039,0.9438,10.894,0.00222269,0.00144475,122.02
lora_fa_medium_classification_seed2024,lora_fa,medium,qwen,1.5,16,16,1,15.6,ok,1,0.001039,0.9461,13.283,0.00212259,0.00137968,122.44
lora_fa_medium_classification_seed42,lora_fa,medium,qwen,1.5,16,16,1,15.6,ok,1,0.001039,0.9392,13.335,0.00213238,0.00138605,121.64
qlora_medium_classification_seed13,qlora,medium,qwen,1.5,16,4,1,15.6,ok,1,0.004884,0.9438,8.642,0.00339605,0.00220743,191.64
qlora_medium_classification_seed2024,qlora,medium,qwen,1.5,16,4,1,15.6,ok,1,0.004884,0.9461,5.034,0.00348174,0.00226313,195.61
qlora_medium_classification_seed42,qlora,medium,qwen,1.5,16,4,1,15.6,ok,1,0.004884,0.9404,6.653,0.00343004,0.00222953,193.62
full_ft_large_classification_seed13,full_ft,large,qwen,3.0,0,32,0,15.6,oom,0,,,,,,
full_ft_large_classification_seed2024,full_ft,large,qwen,3.0,0,32,0,15.6,oom,0,,,,,,
full_ft_large_classification_seed42,full_ft,large,qwen,3.0,0,32,0,15.6,oom,0,,,,,,
lisa_large_classification_seed13,lisa,large,qwen,3.0,0,16,0,15.6,oom,0,,,,,,
lisa_large_classification_seed2024,lisa,large,qwen,3.0,0,16,0,15.6,oom,0,,,,,,
lisa_large_classification_seed42,lisa,large,qwen,3.0,0,16,0,15.6,oom,0,,,,,,
lora_large_classification_seed13,lora,large,qwen,3.0,16,16,1,15.6,oom,0,,,,,,
lora_large_classification_seed2024,lora,large,qwen,3.0,16,16,1,15.6,oom,0,,,,,,
lora_large_classification_seed42,lora,large,qwen,3.0,16,16,1,15.6,oom,0,,,,,,
lora_fa_large_classification_seed13,lora_fa,large,qwen,3.0,16,16,1,15.6,oom,0,,,,,,
lora_fa_large_classification_seed2024,lora_fa,large,qwen,3.0,16,16,1,15.6,oom,0,,,,,,
lora_fa_large_classification_seed42,lora_fa,large,qwen,3.0,16,16,1,15.6,oom,0,,,,,,
qlora_large_classification_seed13,qlora,large,qwen,3.0,16,4,1,15.6,ok,1,0.004324,0.9472,7.457,0.00599847,0.00389901,332.38
qlora_large_classification_seed2024,qlora,large,qwen,3.0,16,4,1,15.6,ok,1,0.004324,0.9484,7.448,0.0060281,0.00391826,335.11
qlora_large_classification_seed42,qlora,large,qwen,3.0,16,4,1,15.6,ok,1,0.004324,0.9495,7.45,0.00601425,0.00390926,332.2
