run_id,method,backbone,task,seed,status,mode,accuracy,metric_name,wall_clock_s,peak_mem_gb,trainable_pct,energy_kwh,carbon_kgco2eq,cost_usd
full_ft_large_classification_seed13,full_ft,large,classification,13,oom,measured,,,,,1.0,,,
full_ft_large_classification_seed2024,full_ft,large,classification,2024,oom,measured,,,,,1.0,,,
full_ft_large_classification_seed42,full_ft,large,classification,42,oom,measured,,,,,1.0,,,
full_ft_medium_classification_seed13,full_ft,medium,classification,13,oom,measured,,,,,1.0,,,
full_ft_medium_classification_seed2024,full_ft,medium,classification,2024,oom,measured,,,,,1.0,,,
full_ft_medium_classification_seed42,full_ft,medium,classification,42,oom,measured,,,,,1.0,,,
full_ft_small_classification_seed13,full_ft,small,classification,13,oom,measured,,,,,1.0,,,
full_ft_small_classification_seed2024,full_ft,small,classification,2024,oom,measured,,,,,1.0,,,
full_ft_small_classification_seed42,full_ft,small,classification,42,oom,measured,,,,,1.0,,,
full_ft_tiny_classification_seed13,full_ft,tiny,classification,13,ok,measured,0.9133,accuracy,225.01,13.475,1.0,0.003832,0.002491,0.0223
full_ft_tiny_classification_seed2024,full_ft,tiny,classification,2024,ok,measured,0.9233,accuracy,227.32,13.48,1.0,0.003772,0.002452,0.0226
full_ft_tiny_classification_seed42,full_ft,tiny,classification,42,ok,measured,0.9,accuracy,226.77,13.48,1.0,0.003975,0.002584,0.0225
lisa_large_classification_seed13,lisa,large,classification,13,oom,measured,,,,,1e-06,,,
lisa_large_classification_seed2024,lisa,large,classification,2024,oom,measured,,,,,1e-06,,,
lisa_large_classification_seed42,lisa,large,classification,42,oom,measured,,,,,1e-06,,,
lisa_medium_classification_seed13,lisa,medium,classification,13,ok,measured,0.5267,accuracy,652.57,14.895,2e-06,0.011498,0.007474,0.0648
lisa_medium_classification_seed2024,lisa,medium,classification,2024,ok,measured,0.48,accuracy,666.3,14.847,2e-06,0.011632,0.007561,0.0662
lisa_medium_classification_seed42,lisa,medium,classification,42,ok,measured,0.46,accuracy,662.34,14.937,2e-06,0.011659,0.007578,0.0658
lisa_small_classification_seed13,lisa,small,classification,13,ok,measured,0.7,accuracy,492.6,9.539,4e-06,0.008675,0.005639,0.0489
