method,backbone,task,accuracy_mean,accuracy_std,wall_clock_s_mean,wall_clock_s_std,peak_mem_gb_mean,peak_mem_gb_std,trainable_pct_mean,energy_kwh_mean,energy_kwh_std,carbon_kgco2eq_mean,carbon_kgco2eq_std,cost_usd_mean,n_seeds,perf_per_kwh,perf_per_carbon
full_ft,tiny,classification,0.9052000000000001,0.006309516621738912,132.28333333333333,0.6650062656346349,11.438333333333333,0.02400694344004092,1.0,0.0023944133333333333,1.48073303918477e-05,0.0015563666666666665,9.626506808460347e-06,0.013133333333333335,3,378.0465174295232,581.610643414806
lisa,medium,classification,0.9380666666666667,0.005248174285723923,140.6,0.8321057625085899,15.516666666666666,0.6312220950927916,0.848823,0.0025277133333333336,1.0593121982368173e-05,0.0016430166666666667,6.883373688340094e-06,0.013966666666666667,3,371.11261122202234,570.9413146906719
lisa,small,classification,0.9201,0.005894913061275818,116.43,0.43139309220246114,11.174,0.05406477596365295,0.936649,0.0020879933333333334,1.5405847374725488e-05,0.0013571966666666667,1.001551962373073e-05,0.011566666666666664,3,440.66211546231847,677.9410417495069
lisa,tiny,classification,0.8868333333333333,0.021961177867622052,70.12666666666667,1.3496789741762012,5.422999999999999,0.243575450322893,0.724441,0.00125948,1.8469875473321336e-05,0.0008186666666666667,1.2005354361006324e-05,0.006966666666666667,3,704.1260116931762,1083.2641491073095
lora,medium,classification,0.9478,0.002404163056034193,125.405,0.03535533905933541,12.278,1.467953677743273,0.002817,0.0021802699999999998,2.8340839789956718e-05,0.0014171750000000001,1.842013164990957e-05,0.0125,2,434.7166017435448,668.7948427012594
lora,small,classification,0.9438,0.004966890375275093,101.08,2.171451127702394,9.735666666666667,1.1328214039879954,0.00434,0.0017739466666666665,2.86500302501294e-05,0.0011530666666666666,1.8624847202952588e-05,0.010033333333333333,3,532.0337334265593,818.5122411144996
lora,tiny,classification,0.9174333333333333,0.0011503622617824775,106.54666666666667,1.7739879744049352,4.654,0.3879806696215669,0.004362,0.0012218766666666667,6.721273416052453e-05,0.00079422,4.368717088574173e-05,0.0105,3,750.8389410505634,1155.1360809312941
lora_fa,medium,classification,0.9430333333333333,0.0035133080327994417,122.03333333333335,0.40016663195890323,12.504,1.394543294415774,0.001039,0.00215922,5.5184161677060715e-05,0.0014034933333333334,3.5870999893135595e-05,0.012133333333333335,3,436.747018176154,671.9181623580953
lora_fa,small,classification,0.9251,0.0006928203230274987,98.17999999999999,0.3915354390090363,8.679,0.6360786114938939,0.0015649999999999998,0.00172969,6.6978280061523395e-06,0.0011242966666666666,4.3554716545207685e-06,0.009766666666666667,3,534.8354127991647,822.8247975847441
lora_fa,tiny,classification,0.9155000000000001,0.001734935157289692,101.86666666666667,0.993294182673658,4.607333333333333,0.4532376124433338,0.001589,0.0012995566666666666,3.7853181284183615e-06,0.0008447099999999999,2.4605487192899887e-06,0.0101,3,704.4704698239633,1083.8026259868761
qlora,large,classification,0.9483666666666667,0.0011503622617825057,333.23,1.6306133815224428,7.451666666666667,0.004725815626252628,0.004324,0.006013606666666667,1.4825472448907932e-05,0.003908843333333333,9.631761694172724e-06,0.0331,3,157.70344845132618,242.62073027040475
qlora,medium,classification,0.9434333333333335,0.0028676354952004274,193.62333333333333,1.9850020990753101,6.7763333333333335,1.8071591887084357,0.004884,0.0034359433333333335,4.314894011830816e-05,0.002233363333333333,2.8047162661013166e-05,0.0192,3,274.5775955043121,422.42697228232515
qlora,small,classification,0.9380999999999999,0.003983716857408444,153.40666666666667,0.9045625093564881,4.280666666666667,1.342686237858024,0.008132,0.0027171433333333336,1.6297166420373237e-05,0.0017661466666666667,1.0593971556188657e-05,0.015233333333333333,3,345.2521783593142,531.1560396139016
qlora,tiny,classification,0.9117000000000001,0.007967433714816863,164.01,1.5469970911414257,3.071,0.5013751090750319,0.006821999999999999,0.0021472033333333335,1.3574374141496495e-05,0.0013956833333333332,8.825448052837581e-06,0.0162,3,424.5986214943369,653.227938600252
