run_id,method,backbone,task,seed,status,mode,accuracy,metric_name,wall_clock_s,peak_mem_gb,trainable_pct,energy_kwh,carbon_kgco2eq,cost_usd
full_ft_large_classification_seed13,full_ft,large,classification,13,oom,measured,,,,,1.0,,,
full_ft_large_classification_seed2024,full_ft,large,classification,2024,oom,measured,,,,,1.0,,,
full_ft_large_classification_seed42,full_ft,large,classification,42,oom,measured,,,,,,,,
full_ft_medium_classification_seed13,full_ft,medium,classification,13,oom,measured,,,,,1.0,,,
full_ft_medium_classification_seed2024,full_ft,medium,classification,2024,oom,measured,,,,,1.0,,,
full_ft_medium_classification_seed42,full_ft,medium,classification,42,oom,measured,,,,,,,,
full_ft_small_classification_seed13,full_ft,small,classification,13,oom,measured,,,,,1.0,,,
full_ft_small_classification_seed2024,full_ft,small,classification,2024,oom,measured,,,,,1.0,,,
full_ft_small_classification_seed42,full_ft,small,classification,42,oom,measured,,,,,,,,
full_ft_tiny_classification_seed13,full_ft,tiny,classification,13,ok,measured,0.9117,accuracy,132.28,11.462,1.0,0.00239411,0.00155617,0.0131
full_ft_tiny_classification_seed2024,full_ft,tiny,classification,2024,ok,measured,0.8991,accuracy,132.95,11.439,1.0,0.00240937,0.00156609,0.0132
full_ft_tiny_classification_seed42,full_ft,tiny,classification,42,ok,measured,0.9048,accuracy,131.62,11.414,1.0,0.00237976,0.00154684,0.0131
lisa_large_classification_seed13,lisa,large,classification,13,oom,measured,,,,,,,,
lisa_large_classification_seed2024,lisa,large,classification,2024,oom,measured,,,,,,,,
lisa_large_classification_seed42,lisa,large,classification,42,oom,measured,,,,,0.899166,,,
lisa_medium_classification_seed13,lisa,medium,classification,13,ok,measured,0.9438,accuracy,139.68,14.788,0.848823,0.0025163,0.0016356,0.0139
lisa_medium_classification_seed2024,lisa,medium,classification,2024,ok,measured,0.9369,accuracy,141.3,15.866,0.848823,0.00253723,0.0016492,0.014
lisa_medium_classification_seed42,lisa,medium,classification,42,ok,measured,0.9335,accuracy,140.82,15.896,0.848823,0.00252961,0.00164425,0.014
lisa_small_classification_seed13,lisa,small,classification,13,ok,measured,0.9186,accuracy,116.47,11.223,0.936649,0.00209492,0.0013617,0.0116
