run_id,method,backbone,task,seed,accuracy,wall_clock_s,peak_mem_gb,trainable_pct,energy_kwh,carbon_kgco2eq,cost_usd,score_balanced
lora_fa_small_classification_seed13_0,lora_fa,small,classification,13,0.783,600.0,3.9,0.012,0.017,0.007,0.02,0.658
lisa_large_classification_seed13_0,lisa,large,classification,13,0.869,612.0,13.2,0.05,0.2138,0.0819,0.26,0.555
full_ft_small_classification_seed13_0,full_ft,small,classification,13,0.794,600.0,6.0,1.0,0.042,0.016,0.05,0.3
full_ft_medium_classification_seed13_0,full_ft,medium,classification,13,0.874,600.0,14.0,1.0,0.2817,0.1089,0.34,0.3
lora_small_classification_seed2024_0,lora,small,classification,2024,0.785,600.0,4.2,0.015,0.019,0.007,0.02,0.631
lora_fa_small_classification_seed2024_0,lora_fa,small,classification,2024,0.784,600.0,3.9,0.012,0.017,0.007,0.02,0.658
full_ft_medium_classification_seed42_0,full_ft,medium,classification,42,0.873,600.0,14.0,1.0,0.2814,0.1088,0.34,0.3
lisa_small_classification_seed13_0,lisa,small,classification,13,0.776,612.0,3.6,0.05,0.01,0.004,0.01,0.629
lora_medium_classification_seed42_0,lora,medium,classification,42,0.859,600.0,9.8,0.015,0.0499,0.019,0.06,0.78
lora_small_classification_seed42_0,lora,small,classification,42,0.783,600.0,4.2,0.015,0.019,0.007,0.02,0.631
full_ft_large_classification_seed2024_0,full_ft,large,classification,2024,0.906,600.0,22.0,1.0,0.759,0.292,0.91,0.3
qlora_medium_classification_seed42_0,qlora,medium,classification,42,0.841,600.0,7.0,0.015,0.024,0.009,0.03,0.759
qlora_large_classification_seed42_0,qlora,large,classification,42,0.871,600.0,11.0,0.015,0.0878,0.0339,0.11,0.719
lora_medium_classification_seed2024_0,lora,medium,classification,2024,0.861,600.0,9.8,0.015,0.05,0.019,0.06,0.78
lora_fa_medium_classification_seed13_0,lora_fa,medium,classification,13,0.848,600.0,9.1,0.012,0.047,0.018,0.06,0.72
qlora_small_classification_seed13_0,qlora,small,classification,13,0.777,600.0,3.0,0.015,0.01,0.004,0.01,0.705
full_ft_large_classification_seed42_0,full_ft,large,classification,42,0.904,600.0,22.0,1.0,0.7575,0.2914,0.91,0.3
lisa_medium_classification_seed42_0,lisa,medium,classification,42,0.833,612.0,8.4,0.05,0.0719,0.0279,0.09,0.56
lora_fa_large_classification_seed13_0,lora_fa,large,classification,13,0.882,600.0,14.3,0.012,0.1429,0.0549,0.17,0.714
lora_small_classification_seed13_0,lora,small,classification,13,0.784,600.0,4.2,0.015,0.019,0.007,0.02,0.631
full_ft_large_classification_seed13_0,full_ft,large,classification,13,0.905,600.0,22.0,1.0,0.7582,0.2917,0.91,0.3
qlora_medium_classification_seed2024_0,qlora,medium,classification,2024,0.843,600.0,7.0,0.015,0.024,0.009,0.03,0.759
lisa_medium_classification_seed2024_0,lisa,medium,classification,2024,0.835,612.0,8.4,0.05,0.072,0.028,0.09,0.56
lisa_small_classification_seed2024_0,lisa,small,classification,2024,0.777,612.0,3.6,0.05,0.01,0.004,0.01,0.629
lora_fa_medium_classification_seed2024_0,lora_fa,medium,classification,2024,0.849,600.0,9.1,0.012,0.047,0.018,0.06,0.72
full_ft_small_classification_seed2024_0,full_ft,small,classification,2024,0.795,600.0,6.0,1.0,0.042,0.016,0.05,0.3
qlora_large_classification_seed2024_0,qlora,large,classification,2024,0.873,600.0,11.0,0.015,0.088,0.034,0.11,0.719
lora_fa_large_classification_seed2024_0,lora_fa,large,classification,2024,0.883,600.0,14.3,0.012,0.143,0.055,0.17,0.714
full_ft_medium_classification_seed2024_0,full_ft,medium,classification,2024,0.875,600.0,14.0,1.0,0.282,0.109,0.34,0.3
lisa_large_classification_seed42_0,lisa,large,classification,42,0.868,612.0,13.2,0.05,0.2136,0.0818,0.26,0.555
lisa_large_classification_seed2024_0,lisa,large,classification,2024,0.87,612.0,13.2,0.05,0.214,0.082,0.26,0.555
lora_fa_medium_classification_seed42_0,lora_fa,medium,classification,42,0.847,600.0,9.1,0.012,0.0469,0.018,0.06,0.72
lora_large_classification_seed13_0,lora,large,classification,13,0.88,600.0,15.4,0.015,0.1429,0.0549,0.17,0.682
qlora_medium_classification_seed13_0,qlora,medium,classification,13,0.842,600.0,7.0,0.015,0.024,0.009,0.03,0.759
lora_fa_large_classification_seed42_0,lora_fa,large,classification,42,0.881,600.0,14.3,0.012,0.1427,0.0549,0.17,0.714
qlora_small_classification_seed42_0,qlora,small,classification,42,0.776,600.0,3.0,0.015,0.01,0.004,0.01,0.705
full_ft_small_classification_seed42_0,full_ft,small,classification,42,0.793,600.0,6.0,1.0,0.0419,0.016,0.05,0.3
lora_fa_small_classification_seed42_0,lora_fa,small,classification,42,0.782,600.0,3.9,0.012,0.017,0.007,0.02,0.658
lisa_medium_classification_seed13_0,lisa,medium,classification,13,0.834,612.0,8.4,0.05,0.0719,0.028,0.09,0.56
qlora_large_classification_seed13_0,qlora,large,classification,13,0.872,600.0,11.0,0.015,0.0879,0.034,0.11,0.719
lora_large_classification_seed2024_0,lora,large,classification,2024,0.881,600.0,15.4,0.015,0.143,0.055,0.17,0.682
lora_large_classification_seed42_0,lora,large,classification,42,0.879,600.0,15.4,0.015,0.1427,0.0549,0.17,0.682
lora_medium_classification_seed13_0,lora,medium,classification,13,0.86,600.0,9.8,0.015,0.05,0.019,0.06,0.78
lisa_small_classification_seed42_0,lisa,small,classification,42,0.775,612.0,3.6,0.05,0.01,0.004,0.01,0.629
qlora_small_classification_seed2024_0,qlora,small,classification,2024,0.778,600.0,3.0,0.015,0.01,0.004,0.01,0.705
